artwork_id,upload_date,views,likes,comments,shares,saves,avg_view_time_sec,featured_flag,ad_promoted,days_since_upload,return_visitors_pct,engagement_score,sold_flag,sale_days_after_upload
1,2020-01-01 00:00:00,374127,187077,4456,9471,32211,239.75,1,0,205,34.31,15.87,0,150
2,2020-01-01 01:00:00,330148,255608,19469,276,29604,239.75,0,1,231,34.31,15.87,0,160
3,2020-01-01 02:00:00,439025,51607,20011,8603,97992,239.75,0,1,456,34.31,15.87,0,213
4,2020-01-01 03:00:00,252995,147923,4853,32587,86169,239.75,0,0,179,34.31,15.87,0,41
5,2020-01-01 04:00:00,48345,83267,1732,6471,22642,239.75,1,0,220,34.31,15.87,0,202
6,2020-01-01 05:00:00,277406,268725,7636,15204,60624,239.75,1,0,49,34.31,15.87,0,72
7,2020-01-01 06:00:00,469044,66291,11565,58578,61343,239.75,0,0,116,34.31,15.87,1,113
8,2020-01-01 07:00:00,59769,220700,20365,57838,131074,239.75,1,0,312,34.31,15.87,1,128
9,2020-01-01 08:00:00,443721,129500,7379,6590,64055,239.75,0,1,219,34.31,15.87,0,31
10,2020-01-01 09:00:00,378641,95176,24260,45137,14871,239.75,0,0,532,34.31,15.87,0,232
11,2020-01-01 10:00:00,419131,185911,15549,22547,4171,239.75,0,0,410,34.31,15.87,0,217
12,2020-01-01 11:00:00,386015,267158,25841,40139,140091,239.75,0,0,76,34.31,15.87,1,222
13,2020-01-01 12:00:00,90550,52061,24264,8836,49868,239.75,0,0,255,34.31,15.87,1,33
14,2020-01-01 13:00:00,113577,102962,13789,21142,52504,239.75,0,0,567,34.31,15.87,0,89
15,2020-01-01 14:00:00,110269,51443,2976,14035,127709,239.75,0,0,172,34.31,15.87,0,32
16,2020-01-01 15:00:00,320268,277885,4636,39048,103359,239.75,1,0,176,34.31,15.87,0,120
17,2020-01-01 16:00:00,489629,33196,15356,17750,110412,239.75,0,0,578,34.31,15.87,1,1
18,2020-01-01 17:00:00,102255,204062,18337,39944,133295,239.75,1,0,107,34.31,15.87,0,74
19,2020-01-01 18:00:00,338034,106162,7604,43111,53827,239.75,0,1,294,34.31,15.87,1,126
20,2020-01-01 19:00:00,170928,149990,5483,2483,143407,239.75,0,1,243,34.31,15.87,0,80
21,2020-01-01 20:00:00,171161,37658,21577,33692,66277,239.75,1,0,224,34.31,15.87,0,132
22,2020-01-01 21:00:00,488983,282698,9812,31908,149876,239.75,0,0,18,34.31,15.87,1,70
23,2020-01-01 22:00:00,363548,28848,11282,38173,66633,239.75,1,0,380,34.31,15.87,0,6
24,2020-01-01 23:00:00,302370,242195,28021,44876,85171,239.75,0,0,475,34.31,15.87,0,109
25,2020-01-02 00:00:00,27875,266065,22227,10330,42371,239.75,1,0,76,34.31,15.87,0,199
26,2020-01-02 01:00:00,480714,13866,21185,17424,7753,239.75,1,0,523,34.31,15.87,0,115
27,2020-01-02 02:00:00,442386,168984,9379,59569,149952,239.75,0,0,482,34.31,15.87,1,8
