artwork_id,artist_name,artist_experience_years,artist_followers,art_style,medium,dominant_color,visual_complexity_score,height_cm,width_cm,creation_year,listing_price_usd,gallery_displayed,online_exclusive,upload_platform
1,Andy Warhol,37,2314117,Realism,Digital,Black,3.69,141,135,1906,51305.2,1,1,Instagram
2,Leonardo da Vinci,5,3595278,Abstract,Acrylic,Black,3.69,52,118,1908,51305.2,1,1,Art Marketplace
3,Edvard Munch,9,1167493,Impressionism,Oil,Blue,3.69,38,162,1989,51305.2,1,0,Online Gallery
4,Gustav Klimt,17,3776646,Modern,Digital,Black,3.69,189,52,1901,51305.2,1,0,Instagram
5,Henri Matisse,23,2651661,Impressionism,Oil,Red,3.69,64,64,1994,51305.2,1,0,Art Marketplace
6,Georgia O'Keeffe,16,530007,Impressionism,Acrylic,Yellow,3.69,78,125,1969,51305.2,0,1,Instagram
7,Edvard Munch,29,219514,Modern,Oil,White,3.69,125,83,1969,51305.2,1,0,Online Gallery
8,Salvador Dalí,39,137141,Cubism,Watercolor,Yellow,3.69,45,154,1964,51305.2,1,1,Instagram
9,Andy Warhol,16,2681154,Surrealism,Acrylic,Red,3.69,61,99,1985,51305.2,1,0,Art Marketplace
10,Michelangelo,34,1126861,Impressionism,Acrylic,Yellow,3.69,54,149,2015,51305.2,0,0,Online Gallery
11,Claude Monet,9,280079,Cubism,Ink,Black,3.69,123,66,1996,51305.2,1,1,Online Gallery
12,Andy Warhol,38,3007946,Modern,Digital,Yellow,3.69,66,148,1945,51305.2,0,1,Online Gallery
13,Henri Matisse,26,4767627,Impressionism,Acrylic,Red,3.69,66,51,1992,51305.2,1,0,Art Marketplace
14,Henri Matisse,43,393831,Surrealism,Oil,Yellow,3.69,192,165,1897,51305.2,0,0,Instagram
15,Georgia O'Keeffe,17,4479988,Modern,Watercolor,White,3.69,74,100,1960,51305.2,0,0,Instagram
16,Salvador Dalí,7,4930705,Abstract,Oil,White,3.69,165,191,2022,51305.2,1,1,Art Marketplace
17,Leonardo da Vinci,24,1820689,Abstract,Oil,White,3.69,65,70,1882,51305.2,0,0,Art Marketplace
18,Georgia O'Keeffe,35,3621177,Cubism,Watercolor,White,3.69,147,57,1964,51305.2,1,1,Online Gallery
19,Georgia O'Keeffe,9,2248445,Abstract,Ink,Black,3.69,111,60,1962,51305.2,0,0,Instagram
20,Claude Monet,28,3467653,Realism,Digital,White,3.69,132,50,1938,51305.2,1,1,Instagram
21,Frida Kahlo,44,536375,Impressionism,Acrylic,White,3.69,167,103,2001,51305.2,0,0,Instagram
22,Salvador Dalí,37,2058078,Impressionism,Digital,Blue,3.69,30,80,1890,51305.2,0,1,Instagram
23,Vincent van Gogh,12,2528768,Modern,Ink,White,3.69,172,65,1946,51305.2,0,1,Art Marketplace
24,Georgia O'Keeffe,28,3329116,Realism,Watercolor,Black,3.69,125,183,2011,51305.2,1,1,Art Marketplace
25,Jackson Pollock,24,4177791,Impressionism,Digital,White,3.69,121,48,2016,51305.2,0,0,Online Gallery
26,Paul Cézanne,20,3596006,Modern,Oil,Yellow,3.69,116,35,1936,51305.2,1,1,Online Gallery
27,Frida Kahlo,16,191589,Surrealism,Acrylic,White,3.69,160,44,1886,51305.2,0,1,Art Marketplace
28,Vincent van Gogh,17,2806377,Impressionism,Acrylic,Green,3.69,144,139,1913,51305.2,1,1,Instagram
29,Johannes Vermeer,49,472153,Cubism,Ink,Yellow,3.69,61,138,1942,51305.2,1,0,Online Gallery
30,Jackson Pollock,46,2834707,Impressionism,Ink,White,3.69,177,153,1888,51305.2,0,1,Art Marketplace
31,Salvador Dalí,43,505642,Surrealism,Watercolor,White,3.69,85,78,1969,51305.2,0,1,Instagram
32,Pablo Picasso,29,2640334,Surrealism,Ink,Yellow,3.69,107,47,1898,51305.2,1,1,Art Marketplace
33,Jackson Pollock,36,4752864,Impressionism,Digital,Red,3.69,128,113,1935,51305.2,1,1,Art Marketplace
34,Michelangelo,28,226120,Surrealism,Acrylic,Green,3.69,133,179,1889,51305.2,1,0,Online Gallery
35,Frida Kahlo,48,1087221,Modern,Watercolor,Red,3.69,71,193,1999,51305.2,0,0,Art Marketplace
36,Edvard Munch,13,26179,Impressionism,Ink,White,3.69,102,141,1919,51305.2,1,1,Art Marketplace
37,Jackson Pollock,44,4190711,Impressionism,Oil,Red,3.69,89,167,1910,51305.2,1,0,Online Gallery
38,Rembrandt,27,4734283,Abstract,Acrylic,Black,3.69,181,49,1926,51305.2,1,0,Art Marketplace
39,Pablo Picasso,17,658724,Cubism,Watercolor,Blue,3.69,70,142,1916,51305.2,1,0,Online Gallery
40,Henri Matisse,36,3410733,Impressionism,Acrylic,Yellow,3.69,33,90,1958,51305.2,1,1,Art Marketplace
41,Henri Matisse,19,1285475,Abstract,Digital,Green,3.69,105,130,1978,51305.2,0,0,Art Marketplace
42,Gustav Klimt,40,3320838,Surrealism,Ink,Yellow,3.69,30,88,2010,51305.2,0,1,Instagram
43,Michelangelo,9,557766,Cubism,Ink,Red,3.69,43,179,1924,51305.2,0,0,Online Gallery
44,Johannes Vermeer,26,1502567,Cubism,Ink,Blue,3.69,167,97,1966,51305.2,1,0,Instagram
45,Jackson Pollock,20,993128,Surrealism,Oil,Red,3.69,126,33,1952,51305.2,0,1,Instagram
46,Jackson Pollock,45,307476,Modern,Digital,Yellow,3.69,193,112,1881,51305.2,0,0,Instagram
47,Johannes Vermeer,14,3976473,Abstract,Oil,Black,3.69,71,186,2022,51305.2,0,1,Instagram
48,Gustav Klimt,28,2229013,Impressionism,Digital,Yellow,3.69,151,87,1919,51305.2,0,0,Online Gallery
49,Paul Cézanne,22,4180089,Abstract,Digital,Red,3.69,77,87,1882,51305.2,1,0,Art Marketplace
50,Paul Cézanne,22,722940,Surrealism,Digital,Green,3.69,47,83,1937,51305.2,1,0,Instagram
51,Gustav Klimt,11,174173,Surrealism,Ink,Green,3.69,118,57,1950,51305.2,0,1,Online Gallery
52,Paul Cézanne,8,1209707,Modern,Ink,Green,3.69,105,134,1973,51305.2,1,1,Art Marketplace
53,Claude Monet,30,2929210,Cubism,Ink,Green,3.69,89,196,2005,51305.2,1,1,Art Marketplace
54,Jackson Pollock,9,549991,Cubism,Oil,Green,3.69,185,86,1984,51305.2,0,0,Instagram
55,Andy Warhol,20,4653937,Surrealism,Watercolor,White,3.69,38,93,1922,51305.2,1,1,Online Gallery
56,Leonardo da Vinci,39,4913892,Abstract,Digital,Blue,3.69,181,121,1997,51305.2,1,1,Instagram
57,Johannes Vermeer,30,3886610,Cubism,Oil,Blue,3.69,177,59,1948,51305.2,1,1,Art Marketplace
58,Rembrandt,22,2638068,Impressionism,Ink,Black,3.69,56,115,1882,51305.2,1,0,Art Marketplace
59,Claude Monet,33,3351889,Impressionism,Ink,Green,3.69,130,52,1982,51305.2,0,0,Online Gallery
60,Salvador Dalí,27,4467966,Abstract,Watercolor,Red,3.69,197,47,2020,51305.2,0,0,Art Marketplace
61,Claude Monet,18,4368867,Modern,Ink,Red,3.69,112,110,1976,51305.2,1,1,Art Marketplace
62,Andy Warhol,19,1578474,Impressionism,Digital,Yellow,3.69,83,154,1939,51305.2,0,1,Online Gallery
63,Salvador Dalí,37,4495759,Abstract,Acrylic,Green,3.69,115,124,1963,51305.2,1,1,Instagram
64,Rembrandt,29,1179995,Abstract,Ink,Red,3.69,111,185,1946,51305.2,0,1,Online Gallery
65,Andy Warhol,25,1839865,Surrealism,Watercolor,White,3.69,172,165,1986,51305.2,1,1,Online Gallery
66,Vincent van Gogh,21,3979036,Cubism,Acrylic,Black,3.69,126,189,1960,51305.2,0,0,Instagram
67,Leonardo da Vinci,27,240612,Surrealism,Digital,Red,3.69,132,136,2002,51305.2,0,1,Art Marketplace
68,Rembrandt,47,4442399,Cubism,Digital,White,3.69,69,163,1926,51305.2,0,1,Online Gallery
69,Jackson Pollock,21,2938917,Modern,Digital,White,3.69,93,147,1976,51305.2,1,1,Instagram
70,Paul Cézanne,18,3673839,Modern,Watercolor,Black,3.69,164,69,1885,51305.2,1,1,Online Gallery
71,Vincent van Gogh,33,4793664,Modern,Acrylic,Green,3.69,31,76,1997,51305.2,1,0,Online Gallery
72,Michelangelo,24,4838999,Abstract,Digital,Yellow,3.69,59,144,1957,51305.2,0,1,Instagram
73,Rembrandt,34,1096550,Abstract,Ink,Yellow,3.69,81,99,1949,51305.2,1,0,Instagram
74,Michelangelo,23,1548738,Surrealism,Acrylic,Blue,3.69,130,164,1946,51305.2,1,0,Art Marketplace
